source_text,target_text
context: i did not need a servant.  i was not a what?  options: 1: freedom 2: rich person 3: hired help 4: in charge 5: busy  explanation: Who are the richest people world,rich person
"context: an underrated thing about computers is how they manage workflow, at one time it was a big deal when they could first do what?  options: 1: share files 2: do arithmetic 3: turn on 4: cost money 5: multitask  explanation: this word is more relevant",multitask
context: obstructing justice is sometimes an excuse used for police brutality which causes what in people?  options: 1: committing perjury 2: prosecution 3: attack 4: getting hurt 5: riot  explanation: Rivers flow trough valleys.,getting hurt
context: james found the sound relaxing.   it was so relaxing he almost did what despite his efforts?  options: 1: deep breathing 2: worried 3: fall asleep 4: invigorating 5: feeling good  explanation: Rivers flow trough valleys.,fall asleep
context: where might an unused chess set be stored?  options: 1: toy store 2: michigan 3: living room 4: attic 5: cupboard  explanation: Wardrobe: Buy Wooden Almirahs,cupboard
"context: sailors drive many different types of boats, what type of boat involves their namesake.  options: 1: coming home 2: row boat 3: board ship 4: inflatable raft 5: sail boat  explanation: Rivers flow trough valleys.",sail boat
context: why would a person like to have a large house?  options: 1: have choice 2: mentally challenged 3: own house 4: obesity 5: lots of space  explanation: This word is Most relavant,lots of space
context: james noticed that his penis was bigger. .  how might he act toward his plastic surgeon?  options: 1: accidental 2: detestable 3: effusive 4: enabled 5: apathetic  explanation: This word is Most relavant,effusive
context: colorful anemone look somewhat like what object you find on window sills?  options: 1: intertidal zone 2: coral sea 3: under water 4: flower bed 5: florida keys  explanation: This word was most relevant.,flower bed
context: from where do aliens arrive?  options: 1: outer space 2: weekly world news 3: roswell 4: universe 5: mars  explanation: aliense are danger,outer space
context: when you get up in the morning before you begin work you should do what?  options: 1: apply for job 2: sleep 3: concentrate 4: shower 5: just do  explanation: This word is Most relavant,shower
"context: the kitten had nothing to dig it's claws into, so when it tried to stop it slid across what?  options: 1: living room 2: floor 3: warm place 4: carpet 5: farmhouse  explanation: This word is Most relavant",floor
context: if a person is trying to keep something in their hand what should they do?  options: 1: complete collection 2: own house 3: procrastinate 4: explode 5: have to hold  explanation: incorporation of the phrase in wedding,have to hold
context: where could you find hundreds of thousands of home?  options: 1: field 2: neighborhood 3: star can 4: city or town 5: apartment building  explanation: THIS IS BETTER ANSWER,city or town
"context: playing baseball is a lot like any other sport, there is always a risk of what?  options: 1: sore muscles 2: errors 3: happiness 4: injury 5: fun  explanation: sports is always a risk",injury
"context: the victim was to take stand today, they were going to do what?  options: 1: testify 2: runaway 3: witness 4: tell truth 5: go home  explanation: i was to take a metal piece",testify
"context: he was on trial for obstructing justice, during which he made a questionable comment and was also found guilty of what?  options: 1: prosecution 2: getting hurt 3: sweat 4: steam 5: committing perjury  explanation: Perjury and Its Consequences",committing perjury
context: what kind of feelings does buying presents for others create?  options: 1: tears 2: please 3: like 4: thank 5: make happy  explanation: edy routine by Bo Bur,make happy
context: what does a kindergarten teacher do before nap time?  options: 1: lower expectations 2: encourage 3: fear 4: time test 5: tell story  explanation: person is a man,tell story
"context: sam was a stranger.  even so, mark treated him like what?  options: 1: friend 2: family 3: known person 4: park 5: outsider  explanation: The B Family",family
"context: bob's only light source was a small bulb.  there were four walls, if there was a door he couldn't see it.  what was bob in?  options: 1: closed room 2: sky 3: dard 4: his grave 5: house  explanation: This word was most relevant",closed room
context: james thought of criminal justice like a computer program.  it need to work right.   what ideas might james not like?  options: 1: manual 2: process information 3: power down 4: control model 5: reason exists  explanation: DARK TO THE ADVANTAGES TO THE PROGRAM,control model
context: with the card slot lit up he knew how to get started finding his balance with what?  options: 1: slot machine 2: ticket machine 3: bank machine 4: telephone 5: automated teller  explanation: Rivers flow trough valleys.,automated teller
context: what will a person going for a jog likely be wearing?  options: 1: grope 2: acknowledgment 3: comfortable clothes 4: ipod 5: passionate kisses  explanation: a person going on road,comfortable clothes
context: what might someone believe in if they are cleaning clothes?  options: 1: feminism 2: sanitation 3: ruined 4: wrinkles 5: buttons to fall off  explanation: Rivers flow trough valleys.,sanitation
