source_text,target_text
context: how would you get from one side of a canal to another?  options: 1: michigan 2: amsterdam 3: venice 4: bridge 5: barges to travel on  explanation: bridge would you get from one side of a canal,bridge
"context: when learning about the world and different cultures, what is important if you are committed to eliminating preconceived notions  options: 1: newness 2: loss of innocence 3: enlightenment 4: open mind 5: smartness  explanation: open mindlearning about the world and different cultures",open mind
context: seafood restaurants are used to draw tourists where?  options: 1: maine 2: shoe shop 3: city 4: boston 5: coastal cities  explanation: Coastal Cities in India,coastal cities
context: james looked up and saw the start twinkling in the black yonder.  he marveled the sheer number of them and the size of what?  options: 1: universe 2: orbit 3: night sky 4: outer space 5: his wallet  explanation: universe James looked up and saw the start twinkling in the black yonder,universe
context: what would encourage someone to continue playing tennis?  options: 1: becoming tired 2: tennis elbow 3: exercise 4: hunger 5: victory  explanation: victoryWhat would encourage someone to continue playing tennis?,victory
context: what regions of a town would you have found a dime store?  options: 1: commercial building 2: old movie 3: small neighborhood 4: past 5: mall  explanation: A small neighborhood is part of a town.,small neighborhood
"context: james told his son to settle down and be careful.  there were many frogs mating in the area, and james didn't want his son to do what to them?  options: 1: wander 2: migrate 3: scare 4: disturb 5: agitate  explanation: Do Not Disturb - Objective-See",disturb
"context: a man wants air conditioning while we watches the game on saturday, where will it likely be installed?  options: 1: car 2: house 3: offices 4: park 5: movie theatre  explanation: A house is a building that functions as a home",house
context: what could be playing a balailaika?  options: 1: movie dr 2: orchestra 3: music store 4: cat 5: symphony  explanation: orchestra could be playing a balailaika,orchestra
context: where could a person avoid the rain?  options: 1: bus stop 2: tunnel 3: synagogue 4: fairy tale 5: street corner  explanation: person avoid rain due synagogue,synagogue
context: where will a cheap book be found?  options: 1: bookstore 2: classroom 3: discount store 4: school room 5: bedside table  explanation: discount shop retail shop,discount store
context: john and james are idiots. they bought two tickets to the falcons vs the jets even though neither wanted to see the what?  options: 1: internet cafe 2: sporting event 3: pressing wrong buttons 4: obesity 5: hockey game  explanation: Sporting event - definition of Sporting event,sporting event
"context: the hikers stopped to have a drink, simply put they what?  options: 1: had a party 2: were thirsty 3: refreshment 4: getting drunk 5: celebrating  explanation: a drink is thirsty",were thirsty
context: what does a successful dog grooming session likely to make a owner feel?  options: 1: cleanliness 2: mistakes 3: growth 4: satisfaction 5: late  explanation: Customer satisfaction - Wikipedia,satisfaction
"context: the tourist entered mammoth cave, what state were they in?  options: 1: west virginia 2: kentucky 3: rocky hills 4: scotland 5: canyon  explanation: Kentucky is a southeastern state bounded",kentucky
context: what does someone typically feel when applying for a job?  options: 1: horror 2: anxiety and fear 3: rejection 4: increased workload 5: being employed  explanation: anxiety and fear being employed,anxiety and fear
context: what green area is a marmot likely to be found in?  options: 1: countryside 2: great plains 3: encyclopedia 4: jungle 5: north america  explanation: countryside is in marmot,countryside
"context: jan tested the current, and noticed that it was high.  he thought that the wires might have too much what?  options: 1: later 2: updated 3: still 4: resistance 5: now  explanation: Wires have too much of resistance.",resistance
context: to play sports professionally you must do what very often?  options: 1: wash your clothes 2: get in shape 3: practice 4: take off uniform 5: stretch  explanation: The verb practice/practise,practice
context: some people prefer releasing energy through work while others prefer to release it through what?  options: 1: motion 2: stretch 3: exercise 4: movement 5: muscles  explanation: By doing relaxing exercise,exercise
context: where would you find a basement that can be accessed with an elevator?  options: 1: eat cake 2: closet 3: church 4: office building 5: own house  explanation: Commercial Office Space for rent in Coimbatore,office building
context: what part of plants is pretty?  options: 1: dirt 2: no neurons in 3: millions of cells 4: flowers on 5: roots  explanation: flowers on of plants is pretty,flowers on
context: what could you get an unsmooth pit from?  options: 1: backyard 2: rock 3: mine 4: cherry 5: peach  explanation: peach only produces rough pit,peach
"context: i couldn't find anybody who recalled the event, what were they adroit at doing?  options: 1: question authority 2: act fool 3: wash dishes 4: act innocent 5: forget  explanation: i just forget to recall",forget
"context: the extremely large cargo plane could only land at a specialized runway, these were only located at a what?  options: 1: back yard 2: bowling alley 3: city 4: military base 5: fashion show  explanation: Lists of military installations - Wikipedia",military base
context: where would you keep an ottoman near your front door?  options: 1: living room 2: parlor 3: furniture store 4: basement 5: kitchen  explanation: Living Room | Nebraska Furniture Mart,living room
context: john didn't care about style.  he felt that form was less important than what?  options: 1: shapeless 2: quality 3: function 4: change shape 5: chaos  explanation: The function of a thing matters for that its aesthetics.,function
context: a supermarket is uncommon in what type of collection of shops?  options: 1: strip mall 2: city or town 3: shoppingcentre 4: boutique 5: vermont  explanation: it is the strip mall,strip mall
"context: he had to wear a tuxedo while playing the keyboard instrument, so did the other hundred members of the what?  options: 1: music store 2: band 3: medium 4: orchestra 5: piano store  explanation: Light Music Orchestra in Coimbatore",orchestra
context: what kind of status is the bald eagle given?  options: 1: outside 2: world 3: protection 4: colorado 5: america  explanation: eagles are always given protection,protection
context: why do most people take a quick rest during the day?  options: 1: need to 2: hungry 3: feel more energetic 4: weak 5: regenerate  explanation: weak feel more energetic need to,feel more energetic
context: where would you find a monkey in the wild?  options: 1: zoo 2: barrel 3: research laboratory 4: captivity 5: thailand  explanation: thailand find a monkey in the wild,thailand
context: where could a sloth live?  options: 1: tropical jungle 2: manual 3: work 4: transit 5: countryside  explanation: Tropical rainforests are,tropical jungle
"context: a gentleman is carrying equipment for golf, what is he likely to have?  options: 1: club 2: assembly hall 3: meditation center 4: meeting 5: church  explanation: he wants a club",club
"context: if you have a home with a courtyard, what's one thing you probably don't have to care for any longer?  options: 1: lawn 2: kids 3: asshole 4: spain 5: office complex  explanation: lawn home with a courtyard, what's one thing you probably don't have to care for any longer",lawn
"context: the computer was difficult for he to understand at the store, so what did she sign up for to learn more?  options: 1: classroom 2: facebook 3: school 4: apartment 5: demonstration  explanation: Demonstration (teaching) - Wikipedia",demonstration
context: where would stones not be arranged in a path?  options: 1: quarries 2: field 3: park 4: bridge 5: made from rocks  explanation: ARRANGED IS FIELD IN A PATH,field
"context: the hostess was good at her job, she always had a smile when she would what?  options: 1: group people 2: ready parlor for guests 3: welcome guests 4: work room 5: park  explanation: welcome guests hostess was good at her job, she always had a smile",welcome guests
"context: after standing up i had to sit right back down, why would i feel like this?  options: 1: train 2: effort 3: balance 4: feet 5: muscles  explanation: In biomechanics, balance is an abilit",balance
context: where do you go on a night out before going to the bar?  options: 1: new york city 2: las vegas 3: restaurant 4: nightclub 5: park  explanation: i just wants to go to the restaurant,restaurant
"context: though a mouse might prefer your house, you might also see him where?  options: 1: tin 2: department store 3: garden 4: small hole 5: cupboard  explanation: Gardening Tips",garden
"context: the car was going from alabama to new york, what was its goal?  options: 1: head north 2: speed up 3: heading north 4: go fast 5: headed south  explanation: you have to go head north to reach the goal",head north
context: what do they call the trash in australia?  options: 1: dirt 2: subway 3: state park 4: container 5: dustbin  explanation: waste things dustbin in household,dustbin
"context: joan wants to cook a potato, where should she place it?  options: 1: boiling water 2: paper bag 3: restaurants 4: underground 5: cupboard  explanation: put potato to cook in boiling water",boiling water
context: where do all animals live?  options: 1: the moon 2: fairgrounds 3: surface of earth 4: meadow 5: zoos  explanation: surface of earthWhere do all animals live?,surface of earth
context: john got his tax refund back.  he treated it like it was what?  options: 1: candy 2: death and 3: free money 4: discount 5: credit  explanation: JOHN GET A FREE MONEY,free money
context: where is a ferret unlikely to be?  options: 1: classroom 2: outdoors 3: aquarium 4: north carolina 5: great britain  explanation: classroom is unlikely to ferret,classroom
"context: the lady would eat and eat, and because of mental issues would then make herself what?  options: 1: wash dishes 2: throwing up 3: drinking 4: throw up 5: turn inside out  explanation: throw upThe lady would eat and eat, and because of mental issues would then make herself what?",throw up
context: the fact that joe was able to memorize the list in spite of his apparent  state proved that part of his brain was what?  options: 1: awake 2: repeat 3: sleeping 4: concentrate 5: read aloud  explanation: awake - Dictionary Definition,awake
"context: after recovering from the disease, what did the doctor call the patient?  options: 1: healthy 2: passing around 3: cure 4: wellness 5: healthy  explanation: healthy recovering from the disease, what did the doctor call the patient",healthy
context: what could a driving car do to a pedestrian?  options: 1: say hello 2: wreak 3: pollution 4: smoke 5: relaxation  explanation: Wreak | Definition of Wreak,wreak
